Query_Name,Database_ID,Target_ID,Target_Name,Gene_Name,UniProt_ID,Query_Percentage,Target_Percentage,Polypharmacology_Type,Ligand_Name,Organism,original_target_smile,query_frag_smile,Query_SMILES
mol_1,CHEMBL4632615,ChEMBL_T_2457,Histamine receptor (H3 and H4),CHEMBL2111378,Q9Y5N1,71.43,80.0,Type 2,CHEMBL4632615 : ,Homo sapiens,O=C(Nc1ccc(F)cc1-c1ccccc1)N[C@H]1CN2CCC1CC2,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL4862605,ChEMBL_T_1674,Nuclear receptor subfamily 1 group I member 3,Unknown,Unknown,53.57,60.0,Type 2,CHEMBL4862605 : ,Homo sapiens,O=C(O)CCCc1cc(-c2cc(Cl)cc(Cl)c2)n(-c2ccccc2)n1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL3593466,ChEMBL_T_2262,Cyclooxygenase,CHEMBL2094253,P23219,46.43,52.0,Type 2,CHEMBL3593466 : ,Homo sapiens,N#C/C(=N\Nc1cccc(Cl)c1)C(=O)c1cc(-c2ccccc2)on1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL2386588,ChEMBL_T_2253,Phosphodiesterase 3,CHEMBL2094125,Q13370,46.43,52.0,Type 2,CHEMBL2386588 : ,Homo sapiens,Nc1sc(-c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)NC1CC1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL362455,ChEMBL_T_2291,Cholecystokinin receptor,CHEMBL2095185,P32238,46.43,50.0,Type 2,CHEMBL362455 : ,Homo sapiens,CC(C)(N)c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL103275,ChEMBL_T_2304,"Troponin, cardiac muscle",CHEMBL2095202,P45379,64.29,69.23,Type 2,CHEMBL103275 : ,Homo sapiens,CC(C)(C)c1cc(NC(=O)Cc2ccc(Cl)cc2)n(-c2ccccc2)n1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL566684,ChEMBL_T_1893,Lysine-specific demethylase 4D-like,CHEMBL1293226,B2RXH2,50.0,53.85,Type 2,CHEMBL566684 : ,Homo sapiens,COC(=O)c1cc(-c2ccccc2)sc1NC(=O)CC1SC(=N)NC1=O,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL2443323,ChEMBL_T_2426,Dipeptidyl peptidase II and dipeptidyl peptidase IV (DPP2 and DPP4),CHEMBL2111469,Q9UHL4,46.43,50.0,Type 2,CHEMBL2443323 : ,Homo sapiens,COc1ccc(S(=O)(=O)n2ccc3ccnc(-c4ccccc4)c32)cc1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL179545,ChEMBL_T_2310,Collagenase,CHEMBL2095216,P03956,53.57,57.69,Type 2,CHEMBL179545 : ,Homo sapiens,OCCCOc1nn2c(-c3ccccc3)nnc2c2c1C1CCC2CC1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL3353087,ChEMBL_T_2333,Adrenergic receptors; alpha-1 A & B,CHEMBL2096676,P35368,67.86,70.37,Type 2,CHEMBL3353087 : ,Homo sapiens,COc1cc(-c2nc(Nc3ccccc3)n(C)n2)ccc1-n1cnc(C)c1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL4127324,ChEMBL_T_2335,"Endothelin receptor, ET-A/ET-B",CHEMBL2096678,P25101,75.0,77.78,Type 2,CHEMBL4127324 : ,Homo sapiens,CCn1ncc2c1CCC(Nc1nc3c(-c4ccccc4)cccn3n1)C2,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL3329900,ChEMBL_T_2433,Melanocortin receptor (M3 and M4),CHEMBL2111323,P41968,57.14,59.26,Type 2,CHEMBL3329900 : ,Homo sapiens,O=C(NCc1ccccc1)N1CCC(c2nc(-c3ccccc3)no2)CC1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
mol_1,CHEMBL3752044,ChEMBL_T_1350,Monoacylglycerol lipase ABHD12,CHEMBL5516,Q8N2K0,50.0,51.85,Type 2,CHEMBL3752044 : ,Mus musculus,C(=N/OCc1ccccc1)\c1cn(-c2ccccc2)nc1-c1ccccc1,*c1ccccc1,CC1(C2=CCN3C(=O)N(C(=O)N3C2C4=C(C=CC(=C4O)C1)O)C5=CC=CC=C5)
