cell_line_raw,cell_line,depmap_id,lineage,primary_disease,subtype,rrid,mapping_status,candidates,descriptive_entry,has_expression
PDX SJBALL020589,PDX SJBALL020589,,,,,,unmapped,0,False,0
Panc Tu-I,Panc Tu-I,,,,,,unmapped,0,False,0
Panc02.13,Panc 02.13,ACH-000031,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CVCL_1634,mapped,1,,1
Pfeiffer,Pfeiffer,ACH-000140,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",CVCL_3326,mapped,1,,1
Primary Cardiomyocytes,Primary Cardiomyocytes,,,,,,unmapped,0,False,0
RAMOS,Ramos,ACH-001636,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,CVCL_0597,mapped,1,,1
RAW 264.7,RAW 264.7,,,,,,unmapped,0,False,0
RI-1,RI-1,ACH-000398,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,CVCL_1885,mapped,1,,1
RS4; 11,RS4;11,ACH-000874,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged,CVCL_0093,mapped,1,,1
RS4;11,RS4;11,ACH-000874,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged,CVCL_0093,mapped,1,,1
Ramos,Ramos,ACH-001636,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,CVCL_0597,mapped,1,,1
SH-SY5Y,SH-SY5Y,ACH-001188,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CVCL_0019,mapped,1,,1
SK-Hep-1,SK-HEP-1,ACH-000361,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0525,mapped,1,,1
SK-LU-1,SK-LU-1,ACH-000309,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_0629,mapped,1,,0
SK-MEL-246,SK-MEL-246,,,,,,ambiguous,2,,0
SK-MEL-28,SK-MEL-28,ACH-000615,Skin,Melanoma,Cutaneous Melanoma,CVCL_0526,mapped,1,,1
SNU-387,SNU-387,ACH-000478,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0250,mapped,1,,1
SNU-398,SNU-398,ACH-000221,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0077,mapped,1,,1
SNU-423,SNU-423,ACH-000493,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0366,mapped,1,,1
SR,SR,,,,,,unmapped,0,False,0
SRD15,SRD15,,,,,,unmapped,0,False,0
SU-DHL-1,SU-DHL-1,ACH-000664,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,CVCL_0538,mapped,1,,1
SUM149,SUM-149PT,ACH-001390,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CVCL_3422,mapped,1,,1
SUP-M2,SUP-M2,ACH-000226,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,CVCL_2209,mapped,1,,1
SW1573,SW 1573,ACH-000677,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_1720,mapped,1,,1
SW480,SW 480,ACH-000842,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0546,mapped,1,,1
SW620,SW 620,ACH-000651,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0547,mapped,1,,1
Sk-Mel-28,SK-MEL-28,ACH-000615,Skin,Melanoma,Cutaneous Melanoma,CVCL_0526,mapped,1,,1
T47D,T-47D,ACH-000147,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CVCL_0553,mapped,1,,1
THP,THP-1,ACH-000146,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0006,mapped,1,,1
THP-1,THP-1,ACH-000146,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0006,mapped,1,,1
THP1,THP-1,ACH-000146,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0006,mapped,1,,1
THPT1,THP-1,ACH-000146,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0006,mapped,1,,1
TM3,TM3,,,,,,ambiguous,2,,0
TMD8,TMD8,,,,,,unmapped,0,False,0
U251,U-251 MG,ACH-000232,CNS/Brain,Diffuse Glioma,Astrocytoma,CVCL_0021,mapped,1,,1
U937,U-937,ACH-000406,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0007,mapped,1,,1
VCaP,VCaP,ACH-000115,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,CVCL_2235,mapped,1,,1
VCaP AR+,VCaP,ACH-000115,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,CVCL_2235,mapped,1,,1
WI38,WI38,,,,,,unmapped,0,False,0
WI38 platelets,WI38 platelets,,,,,,unmapped,0,False,0
XLA,XLA,,,,,,unmapped,0,False,0
Z138,Z-138,ACH-002500,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,CVCL_B077,mapped,1,,1
germ,GR-M,ACH-001072,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CVCL_2451,mapped,1,,0
hPBMC,hPBMC,,,,,,unmapped,0,False,0
hela,HeLa,ACH-001086,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,CVCL_0030,mapped,1,,1
platelets,platelets,,,,,,unmapped,0,False,0
primary Sertoli,primary Sertoli,,,,,,unmapped,0,False,0
