depmap_id,CRBN,DDB1,CUL4A,CUL4B,RBX1,CUL1,CUL2,CUL3,SKP1,VHL,KEAP1,RNF7,MDM2,FEM1B,RNF114,BIRC2,BIRC3,UBR1,ARIH1,UBE2D1,UBE2D2,UBE2D3,UBE2G1,UBE2G2,UBE2L3,UBE2R2,UBE2N,UBE2M,UBE2F,UBE2K,UBE2H,UBE2E1,CDC34,PSMA1,PSMB5,PSMB6,PSMB8,PSMB9,PSMB10,PSMC1,PSMC2,PSMD2,PSMD11,PSMD14,PSME1,UBB,UBC,UBA52,RPS27A,USP7,USP14,USP9X,UCHL5,OTUB1,ABCB1,ABCC1,ABCG2,ABCC3,SLC46A1,ABL1,ADRA1A,ADRM1,AKT1,ALK,AR,AURKA,BCL2,BCL2L1,BLK,BRAF,BRD2,BRD3,BRD4,BRD7,BRD9,BSG,BTK,CDC20,CDK12,CDK2,CDK4,CDK6,CDK9,EED,EGFR,ESR1,ESRRA,EZH2,FER,FGFR1,FGFR2,FKBP1A,GSK3A,GSK3B,HDAC1,HDAC2,HDAC3,HDAC6,HDAC8,HMGCR,HPGDS,HSP90AA1,IDO1,IRAK1,IRAK3,IRAK4,JAK2,JAK3,KAT2B,KRAS,MAP2K1,MAP2K2,MAPK11,MAPK13,MAPK14,MAPT,MCL1,MIF,MLLT1,NTRK1,PARP1,PARP14,PARP2,PBRM1,PDE6D,PLK1,PRMT5,PTK2,PTK2B,PTK6,PTPN11,RIPK2,RPS6KA1,SF3B1,SMARCA2,SMARCA4,SOS1,STAT3,SUZ12,TTK,TYR,WDR5
ACH-001113,0.2387868595871165,0.5945485495503542,4.241077458175037,5.844234987758751,5.671859468247477,3.7676547982373454,3.794935662803536,4.321928094887363,2.2479275134435857,0.0,4.413458688007979,5.10936055940423,6.545041683467464,5.90665012639538,10.153931971588522,5.241077458175037,0.5360529002402097,6.819029455438522,6.703349915166396,0.0565835283663675,0.01435529297707,7.715344295358907,3.726831217032493,1.292781749227846,3.849999259466098,4.095924419998536,5.6544928258834615,6.430117974892026,8.744228383881836,8.12241388837423,0.2265085298086797,6.492013386873797,7.039467438278527,4.177917792195843,1.3219280948873624,5.385085853547684,3.786596361890807,5.169925001442312,5.115199749385445,4.619999829821357,7.241744864940151,6.314333993919012,6.988116584760143,4.516015147003665,5.098453246309274,4.604664415163704,5.486070743735668,9.53972104234946,4.069530325162305,7.363171077119244,2.414135532984451,7.827120367558616,7.103077946597573,4.0798047546352585,6.787249608467913,6.267535798068735,6.718772591827187,4.329841176530628,2.16349873228288,2.0669502439246266,0.137503523749935,6.2660368939953175,5.966707314150316,3.388189537156084,5.308156975114762,5.427270935173585,7.7213042966440595,5.013015535839256,4.195347598322219,7.295631200395783,6.048977225226046,0.0565835283663675,6.841092544693431,5.417515002885087,4.634012356402116,4.332707933640605,8.14338321398982,5.111865963867557,0.0,4.705425039042727,5.53884852074424,4.857980995127572,6.64587455030903,8.85371501270492,7.712527000439823,7.162189891303228,11.021188205156898,6.17951105027151,5.677790101216656,9.242483419608917,2.5459683691052923,1.752748591407134,5.005849075696688,3.7092906357233577,4.998195503153252,3.5619370596224327,6.927896453728821,0.0565835283663675,3.469885976274464,6.3348542693316325,3.9541963103868754,5.003602236680195,4.68873986801449,5.684257705058931,6.515699838284043,4.20945336562895,4.339850002884624,4.436961337833602,0.1634987322828795,4.904965718684027,3.4892860226258766,6.0955025176586695,10.205182326228645,0.1763227726404628,5.163498732282879,6.899538192586938,1.782408564927373,7.641112461829298,4.760753208062987,4.0557162635125446,8.721441019070326,6.3321708504151095,5.159467729266766,6.321747746735257,5.189033824390017,6.630085070002124,5.60139939053183,2.327687364176047,5.575917361118149,7.389480770609225,2.2387868595871168,6.671576448130652,4.733354340613827,6.329841176530628,3.6229303509201767,0.1763227726404628,7.070711322098937,5.921959917326167,5.231509210867047,10.07775037426558,4.658782734012828,8.172077418848254
ACH-001289,0.4541758931858022,0.0565835283663675,4.403949364232865,6.039357765159702,5.69181329717138,8.595182873441527,3.738767836800192,4.794415866350106,3.5285713188707577,0.0,8.534263969049434,6.010556078374215,5.917670434361761,7.79584485619723,10.492654371018912,4.502075956045791,0.0,6.100977647724821,6.7964939294258375,0.0426443374084937,0.2868811477881615,8.438583956469984,5.2543672814408335,2.469885976274464,4.937815168803419,4.657640005207824,7.166715444966423,6.50747752951693,8.879460722538024,8.65585267744275,0.070389327891398,6.3384244147835584,4.275752048828529,3.699329525673156,0.0285691521967709,6.142209191389236,5.782932704820837,6.43229133824778,4.87921563716567,5.187846909439575,7.326699124547794,0.6135316529179271,7.76460624310965,4.724104519866845,4.03738222200308,4.562547724199122,7.193377510564362,9.97312333067025,5.04176864995163,7.58661464242998,4.334139178838237,9.512088584731664,7.25143506956323,3.4475791965488827,6.088311235888661,5.230741002626909,6.12267271882414,3.056583528366368,0.2868811477881615,1.4905701304462011,0.070389327891398,5.837943241891027,6.732811872082943,6.679480099505446,6.877253453876608,6.10244817792658,8.397888508130764,5.843481425432457,3.843983844048328,6.303415462685624,6.58661464242998,0.0565835283663675,7.0571253042715245,5.310703657225108,4.638653116466112,4.711494906650088,8.82075337262287,5.915759896038,0.0426443374084937,5.461724991502711,5.803227036434928,4.503984703897613,5.600507645345786,8.866382569431286,6.856736756119109,6.94216258558121,10.658122204306215,1.8155754288625725,4.516015147003665,9.59114830066745,2.1858665453113337,0.0840642647884745,4.666756591884804,2.780310099043376,6.034303767768035,3.795974694206668,6.989593184938768,0.0,5.0103322832848205,5.938991438775543,4.930264245235024,5.8755343515732354,3.876762490781555,6.527320607877047,7.739308070860385,6.307064162255372,4.469234793667656,5.279842693520347,0.0,6.331633567171029,3.097610796626422,6.620146497339492,11.216806474360558,0.0840642647884745,5.197708157955851,5.592756010441026,3.918386234446348,8.337978629456991,3.498250867527825,0.01435529297707,7.706185170563115,7.534497433738168,5.216454865144756,5.652486494918165,5.525755692829486,5.19377174339668,5.66732447027863,3.747387399652718,6.641835001555368,5.57803297169654,1.565597175854225,5.447248568601776,4.826802684285827,7.208770848447551,2.7548875021634687,0.0976107966264223,6.539779191698494,0.0840642647884745,5.54101915313356,10.392854039872873,3.852997587613317,7.124224727121938
ACH-001339,0.8559896973084807,3.0789513413948217,4.476381687567235,6.087674986687217,5.135863165368679,0.137503523749935,3.228049047884462,5.286881147788161,2.411426245726465,7.160577378340789,2.513490745588118,5.431957187686729,4.68873986801449,4.897240425574799,9.570823407948769,5.415150205426387,1.232660756790275,6.797272432029972,9.391651740261796,0.0426443374084937,0.6135316529179271,7.655494946021618,3.4620523187964327,2.803227036434928,3.8135246892978105,4.130930869826448,7.235439870618259,5.9941271140031285,8.21266660465505,7.7997349224788675,0.0840642647884745,6.061344188288391,2.763411574470007,3.374343989038501,0.0565835283663675,4.699884728697476,3.339137384919585,4.438292851579146,3.7803100990433753,4.58014548442338,6.766462652425766,0.9855004303048848,7.392746732420639,5.298291730620124,4.516015147003665,5.23189316164533,5.786857696017215,9.471553291349515,4.498250867527825,8.011003564432668,5.0307774719925415,7.833143096358337,6.894454012822958,2.643856189774725,7.112178833722592,5.909053016759139,7.252003059744144,4.22650852980868,1.9107326619029128,0.9486008474933558,0.0,7.006522445622979,6.022811650915631,3.7803100990433753,5.835166157220454,4.995936703504587,8.223567352796353,4.949534933017012,3.582556003014061,6.922435740233148,5.980939266085512,0.8318772411916731,6.436461703182413,4.866413481123453,4.032100843167024,3.119356177039676,8.528336893135771,4.957914598632986,0.0285691521967709,4.23112515787905,5.491532461804321,4.0522419811811385,5.519479002307236,8.162945136774375,6.737416365937063,6.727375938594897,11.040221215361235,1.372952097911829,4.295723024539968,9.148502003893343,2.111031312388744,0.2630344058337938,4.860466258517167,2.6959938131099,4.989139007368233,3.906890595608519,7.065443062937431,0.0,3.854993016757,5.062208077560245,4.878725341480106,5.908572758751745,3.819668183496456,6.105594275795191,6.450056493890837,5.305240965954483,4.662775171937776,5.505255800932163,0.8639384504239714,5.39677601078753,1.879705766282288,7.266599165535096,10.468725852666545,0.1634987322828795,4.981396031972149,5.4584476274379226,2.2078928516413328,8.439456918876031,3.354734239970604,4.339850002884624,7.701133154847972,7.293793489121389,4.659353759170051,5.931210274803932,5.561020577829268,5.389222616355895,4.965322548367254,3.05484847699562,6.673273736609817,4.731726322715782,0.3561438102252753,4.697106574476975,3.986410935252045,7.203690587077789,3.738767836800192,0.2016338611696504,6.650046478846795,6.931210274803932,4.870857864363762,10.179287104646004,5.388533979091799,8.45129354919362
ACH-001979,0.4005379295837288,0.5160151470036647,4.030336078370959,6.184677020680892,5.915759896038,0.1243281350022017,2.761285273361619,3.8904466926799057,3.021479727410452,8.302044817770586,5.274634402517586,5.624100894628114,5.197314999473818,5.177917792195843,9.347444204040126,5.141596278383818,0.2509615735332187,2.3757345385831563,8.53888731068955,0.01435529297707,0.3785116232537298,7.943335317755108,3.604071323668861,1.3673710656485294,5.302319050948834,3.758089934201813,5.592756010441026,5.873321062914816,7.679339341903414,7.645802514606062,0.0,5.039138393906958,4.096767854714688,3.6814492653149578,0.0285691521967709,5.424922088210688,3.71918344048179,2.948600847493356,4.170726276131552,3.745237332129749,5.427941332509482,0.925999418556223,6.824513297334801,4.772941337831336,4.321206566969903,0.8639384504239714,5.354028938054387,10.025554865752342,3.76659516172927,6.344473459456363,3.960697039304312,6.561631630375841,6.317774372804099,3.114367024952,4.789207575347344,4.575312330687437,2.358958825832329,3.62760683812965,0.137503523749935,1.4329594072761065,0.0,3.55581615506164,5.272769732436511,4.458775699080244,6.25001411501037,4.380590934265922,7.153095971734591,2.763411574470007,3.752748591407134,5.440287820840419,5.983221650742669,2.7420062108667365,6.340206179911712,4.276496665640356,3.0373822220030804,3.215678596607928,6.992768430768924,6.070818637533277,0.0,4.831370587967541,4.949534933017012,3.4841381312016693,6.956405199635573,7.279378431234479,6.354734239970604,5.15623479785027,11.254260974673786,2.9049657186840263,4.157852169141737,8.797758782915304,2.3950627995175777,0.070389327891398,3.5360529002402097,3.4154882710497003,4.975905273523699,3.4905701304462013,6.416839741912829,0.0,4.269781238274379,5.130519083027338,4.702103406629387,2.2078928516413328,3.769771739249448,5.51127826508303,6.772545518621512,4.753283616460879,4.4409521980296365,4.735522177296538,0.1110313123887439,5.169925001442312,2.669026765509631,6.053980168187652,10.655888445706667,0.1110313123887439,5.5786368624717415,5.798309782454597,1.9855004303048849,8.683731538876035,3.0107798387532423,3.722466024471091,6.463851292611099,5.3063351601979765,3.8011586560936985,5.777156666004501,6.456806149230474,6.005624549193878,4.590362488463746,2.070389327891398,5.794415866350106,6.830737021121959,0.9560566524124028,5.281698250098829,3.873813198359087,5.340918270272116,2.8196681834964554,0.0426443374084937,6.718498627709217,6.682432841227048,4.832890014164741,10.829643463949967,4.532316959332765,6.908812907739547
ACH-002438,0.01435529297707,0.903038270112912,4.15704371014558,6.060047383669939,5.354381632113322,5.108942568660791,3.24031432933371,4.127633279725874,2.867896463992655,0.0,6.299024807384316,5.7481928495894605,5.519164449806069,6.561020577829268,9.365972427593384,4.749534267669262,0.0,5.791553633388596,8.505692482014974,0.8875252707415875,0.0,8.09323267628895,4.636334602442182,2.2539892662307865,5.141187525005,4.727375938594897,6.73226919950145,6.193968819421969,8.265146182313647,8.315738297233207,0.0426443374084937,6.031880365587182,5.0259146987507926,3.3950627995175777,0.0565835283663675,5.360013042204331,4.218006150284427,4.253232938538032,4.817111572795697,4.956521363333119,5.801676029253588,2.634593268445757,7.357024092784094,4.964860664245848,5.039138393906958,4.110196177754199,5.026357446963839,10.287827790536342,4.891419186846079,6.855616022786843,3.7037651787934096,6.8961507309765615,6.651912744645784,3.0268000593437154,6.580899204225744,4.38543103719352,6.532628657517167,2.570462931026041,0.4114262457264649,2.6484654430273142,0.0,6.077456652400588,5.3750394313469245,4.466627120041501,6.350320435387008,5.787902559391432,7.815063017192867,4.931210274803932,4.153805336079035,6.199868616524428,5.985272714253447,0.5058909297299573,6.57243496598233,4.4495613746132365,4.345538310070007,4.1626934322112366,7.562013406831769,5.472812666192388,0.0,5.308885057411763,6.241840183564671,3.927896453728821,6.613236954716332,8.145983078550424,6.839833648417312,6.355967689241001,10.883865154509795,4.37851162325373,5.040015678847879,9.322333795818592,2.232660756790275,0.6780719051126377,4.37920505996061,2.84799690655495,5.394719912994065,3.431622959713292,6.410748128185948,0.0,4.17951105027151,5.516960659898823,4.645009884391095,5.473786911614368,3.6403895600549454,5.962086249850644,7.359398176276048,5.20906339534927,4.024142345897803,5.390254956321868,1.91456452349394,6.673415087223841,3.498250867527825,6.83932978216199,10.653740778706569,0.0,6.74698450599195,5.7718855785153655,1.5058909297299574,9.205573346857706,3.498250867527825,3.574101508089389,7.228337711981378,6.912769605532279,4.466627120041501,5.8671551631075145,5.513806537433724,5.76128527336162,5.0307774719925415,3.1176950426697547,6.4257614011908375,6.341985747228616,0.1890338243900171,5.144862142915734,4.459431618637297,6.724650271732967,3.171527106038814,0.1243281350022017,6.224001674198105,6.25380022147642,4.929790997718597,10.60834724022469,3.5360529002402097,7.726558779104974
ACH-001538,0.1243281350022017,2.875780063068488,4.678635347822744,5.118525848935668,4.822220271621528,1.875780063068488,5.131342539123261,4.77663042305105,3.710393192170516,0.0,0.0840642647884745,5.273515889702116,5.169524197150003,4.880195728943098,9.05213327492777,5.205939832470884,0.0426443374084937,6.509062386361898,7.18159953482323,1.516015147003665,0.0840642647884745,9.419033185471022,4.460087240116833,1.8953026213333068,3.4892860226258766,4.20945336562895,5.763145958149476,6.700439718141093,8.546006968092383,7.188638294561388,5.77663042305105,5.211012193485511,4.084064264788474,4.48413813120167,0.6959938131099002,4.303780748177103,3.867896463992655,4.043519493662743,4.20163386116965,4.358958825832329,6.180704840195555,3.075532631167357,7.492253789302918,4.570462931026041,4.43095427138573,5.039577103060678,5.826294245499634,8.891601456544691,5.405992359675837,6.660209873352559,2.8155754288625725,6.772017590689214,6.473462236235279,3.2357270598380583,7.38655231399833,5.22380865860602,6.902314812492626,4.358958825832329,2.625270489374693,3.969933274697856,0.0,4.85897561429202,7.025361072342031,4.956521363333119,6.476219650723027,5.711219556894335,8.537451387653073,4.70376517879341,3.543495883425772,7.785223580534427,5.583759753639499,3.418189947945766,6.078951341394822,4.599317793698226,5.50303064564116,5.341274183692175,8.01357391918829,7.659425121425692,0.0,5.085764553778314,5.32660925100527,3.8094144442358986,4.498250867527825,7.612721087968251,7.7550210788536145,6.086613947409496,11.500045140593762,4.767125077269071,4.496973580998276,9.398957408706362,2.503348735167504,5.095924419998536,3.852997587613317,2.944858445807539,5.2253520607761015,3.356143810225275,5.910732661902912,0.0,3.784503982929567,5.745506265869159,4.9963887464476215,5.4202128906107845,3.901108243014512,5.9453267772646265,6.624685810525398,5.000901402741532,5.384395238388068,5.745506265869159,0.1110313123887439,6.066304502008189,2.9818526532897405,7.850874415720346,10.12308675098106,0.01435529297707,6.784765696316387,5.235727059838059,0.6959938131099002,9.502871574574138,5.451540833017832,5.565901766806668,7.292137545135477,6.471837762422287,4.60229058486114,5.872089989334793,4.913607511823099,5.820689560559215,4.154615611326894,0.8639384504239714,5.734438666137168,5.97338167497138,0.8559896973084807,5.1034976397033365,4.689299160535892,7.461643148073906,3.825785627464792,0.0,6.2343863540945454,7.6512670027293455,6.990954860396993,9.94186925352626,6.858105360029239,8.988627886636689
ACH-000242,0.3219280948873623,2.028569152196771,5.503348735167505,5.991408466764788,5.217618485351048,4.0,3.2357270598380583,5.457791260256042,3.19377174339668,0.0285691521967709,0.3561438102252753,5.456149034647996,5.6604951318885135,5.216842842837263,9.82616710780042,5.187451054027326,0.1110313123887439,5.882643049361842,7.676380255466924,1.4059923596758368,1.6182386555954549,8.42827641439251,4.238022517825721,1.0565835283663676,4.311793717753649,5.036063688743695,6.276496665640356,6.621026189464851,8.574290766120185,7.781818679842354,4.300123724569014,5.231509210867047,4.574101508089389,4.414812060565847,0.070389327891398,6.077883864438322,0.3103401206121505,4.951401291674311,4.176322772640463,3.792855352362489,6.516645557780962,6.273515889702116,7.576673292516575,4.486714373030702,5.166715444966423,4.314696525656286,7.269407240854037,8.92445623862289,4.234194722953812,6.284106911228743,3.028569152196771,6.677085350559835,6.817239510989448,2.974529312483882,7.615225000357386,5.577428828035749,6.663202278579536,3.776103988073164,2.114367024952,4.599317793698226,0.0,6.651625783920642,5.507794640198696,3.9717734471933728,6.30432850305588,6.645154031370372,7.626366123967175,5.356848079236522,4.853995647176393,7.1906148602094975,6.5530532527664125,0.0840642647884745,6.249634957310189,4.238786859587116,3.713695814843359,5.453846773749929,8.426138932787612,5.3788583832700345,0.2016338611696504,5.117695042669754,4.956521363333119,4.651912744645784,7.423410093269615,6.874182189803417,6.502712485966061,7.177220188114539,10.878280867043117,5.064365540263628,4.178714641175443,9.708532139089812,1.3895668117627256,5.142413437873741,4.203984165855989,3.7441610955704094,3.7246502717329673,3.033863451866284,5.896029602976752,0.01435529297707,4.817111572795697,5.574404309022579,5.015247773698937,5.642412772905056,4.641546029087524,6.609400390006429,7.09876903815488,5.156639310692087,4.454175893185802,5.413797150189212,0.0285691521967709,6.590811576417844,2.84197311892718,6.131136719158451,10.426055045414587,0.0285691521967709,5.904243227203662,6.313064414946363,2.91456452349394,8.476098111145507,5.609104846618959,3.792855352362489,7.880563091770077,7.885025196290356,4.839455765224628,5.98299357469431,3.856985689782205,6.898571157751643,5.7824085649273735,0.2016338611696504,6.361592923772207,5.511594541537413,2.19534759832222,5.474436043252266,5.219942913954125,6.851873944670617,3.07210580048042,0.0285691521967709,7.463851292611099,5.642123916153487,5.680324356844016,10.644397099000916,3.1473066987802936,9.261201695807534
ACH-000708,0.0,1.6870606883398924,4.750070485865693,5.983221650742669,5.495695162624068,2.286881147788161,3.5058909297299574,4.650764559116903,3.1176950426697547,0.2141248053528473,0.2630344058337938,4.992768430768924,5.451540833017832,5.677790101216656,9.5640541965453,4.725741156503952,4.330558400030802,6.723148957047578,7.788685710613533,0.01435529297707,0.01435529297707,7.273142859308082,4.234194722953812,1.4329594072761065,4.783980413683795,5.709566353839991,5.596637034102074,6.170525999176848,7.445428759238323,7.353411515901703,4.8594726668519375,4.357552004618084,4.611762560064872,3.2854022188622483,0.0976107966264223,5.332349900373874,2.82781902461732,5.372603915204483,4.539779191698494,4.234194722953812,6.472325296656458,6.061560209107974,6.505732173741804,3.353323291162897,4.346956889378885,4.236492618381302,5.975905273523699,8.308976041868696,4.634012356402116,5.895302621333307,2.1984941536390834,6.722192760895903,6.628773595201645,2.978195629681652,7.784765696316387,5.715344295358907,6.561937059622433,5.794935662803536,0.0426443374084937,3.357552004618084,0.0,5.897240425574799,6.924575003392735,4.547819956577703,6.309248960816616,6.422905742612183,7.416333088688697,4.467931546026287,4.642701571833233,7.815895593760557,5.970623614470605,0.2387868595871165,6.317231700222606,5.086189313104476,3.972692654004264,4.777156666004501,7.914624315650149,4.229587922740652,0.0,4.94345253855882,5.76128527336162,4.181897643108388,6.535741941075111,8.182543333151754,6.192194165283345,6.840085515568946,10.767274080951395,3.61706334388818,4.422905742612183,9.671381839588609,0.2750070474998697,5.164705840182799,5.049195105622275,2.550900664647523,3.76234881564413,3.063502942306158,6.125981653854716,0.070389327891398,4.199279721336625,5.94063660720115,4.937815168803419,6.808642467918064,4.114367024952,5.236492618381302,6.889838550766045,4.930737337562887,3.297191416565856,5.401903471607959,0.01435529297707,5.514122260170708,3.4918530963296748,5.461070114033051,2.563158130402808,0.0285691521967709,6.710806433699352,5.713695814843359,1.3219280948873624,9.143689323696227,5.77636722957392,2.7506065048355923,7.705217660919054,6.998308350354287,4.62702310555406,5.571373435973201,5.2761244052742375,7.388620076728018,6.034303767768035,0.6507645591169022,5.355791546753647,5.14649230697719,0.2387868595871165,6.056149961108142,5.593951283948411,6.543495883425772,3.297191416565856,0.0976107966264223,6.191404728852764,6.806324057390029,6.119563684417364,9.972836227178576,5.787641414483327,9.52905958350814
ACH-000327,0.0840642647884745,2.18269229751619,3.9467308601403097,4.173926931999809,4.341274183692175,0.722466024471091,1.7180875839605168,3.967168607532628,3.2094533656289497,0.01435529297707,0.6690267655096305,6.323910438019789,4.888986721186558,5.035183996618336,9.001689668404214,4.400537929583729,1.883620816285672,6.598275867907649,7.008428622070581,0.0426443374084937,0.1505596765753814,5.7230123963923685,2.4672794804599825,1.38404980679516,3.24031432933371,4.714795011118162,5.165911938935689,5.671859468247477,7.012680402063877,7.5474344051066655,2.16349873228288,5.093391153253013,3.8083850506560935,3.311793717753649,1.0,5.413120146403495,3.4841381312016693,3.8904466926799057,3.2203299548795554,3.563158130402808,6.215096120976213,3.028569152196771,6.45022149589718,3.320484678017693,3.743084055549586,2.646162657157894,5.019701914442548,8.14934066928622,3.955126781261366,5.530445354692906,1.5260688116675876,5.896029602976752,5.477677327565307,3.130930869826449,4.811471030529836,5.511910748670928,4.531069492725954,4.2024177215751815,3.428946344769483,1.144046369616707,0.2016338611696504,3.414135532984451,5.657068301201576,3.060047383669939,6.12267271882414,6.127220550488074,6.832383716549126,4.567423757707283,3.543495883425772,11.057044050854763,7.377731108349777,0.0565835283663675,5.97865326490861,3.919340082442013,3.2357270598380583,2.990954860396993,5.888499735514123,4.151371776253954,0.2016338611696504,3.726831217032493,4.83541884047548,4.040892430646901,5.960233671694455,6.936755705219598,7.532472816842871,6.654779216959517,9.95076000318054,2.7548875021634687,2.805292455600712,9.121015400961364,1.01435529297707,3.665620164066381,3.517275693209581,1.9708536543404835,2.9068905956085187,2.070389327891398,5.496654082593496,0.0,2.5459683691052923,5.1039172107520665,5.4432751117658045,5.779785005301132,3.604071323668861,4.999098033705607,6.335211681705785,5.906409617094016,4.180307019969433,6.09950561709114,0.4005379295837288,4.88410945135923,1.3103401206121503,4.754887502163468,10.253847484987404,0.0840642647884745,4.824258696603374,4.351204277257994,0.2016338611696504,9.131471161691962,6.386983342366655,1.3161457422933562,6.874674031635808,6.0298945496633385,3.894332742277694,5.335926240928362,4.547203024756931,5.751410160064371,4.954196310386875,0.84799690655495,5.160678213220501,4.254745197629213,2.689299160535892,5.212569338850806,3.494415610397496,4.409390936137702,2.017921907997262,0.0,7.054631448782967,8.184429079552386,4.269033146455237,10.060831009169126,5.554281862626391,10.002393113267187
ACH-000233,0.0565835283663675,7.832383716549126,5.61882595258744,5.340206179911712,5.0522419811811385,0.0565835283663675,3.665620164066381,4.884597920990064,2.4195388915137843,0.0426443374084937,2.538538163629804,6.149950301681046,4.736063627871814,4.87921563716567,9.183858653195852,5.969933274697856,0.2141248053528473,6.567423757707283,8.144913113434239,1.6507645591169022,0.0565835283663675,7.7056323873614145,5.517905553529951,2.341985747228616,4.54101915313356,5.2539892662307865,5.697662633470518,6.44012167872693,8.311067102255596,6.778340011285518,3.811471030529836,4.398487190018967,4.138323004056484,3.426264754702098,5.702103406629387,5.2509615735332185,3.063502942306158,5.868637384170314,4.953265239014844,3.854993016757,6.2951719919885285,0.4222330006830478,8.328854411657725,6.010556078374215,6.1001366712854495,3.791814071161826,5.03121873061072,8.467483282610498,4.4409521980296365,6.052894046747444,2.469885976274464,6.855117639487686,6.495855026887171,3.849999259466098,6.266786540694901,5.521050736900963,7.132371198732537,3.72137265947682,0.2387868595871165,3.517275693209581,0.0,6.139755975481314,7.082255509383947,4.676944359106912,6.133810091106031,5.918147673876828,7.102868054251107,5.615887073916057,3.998195503153252,6.8774988727835344,6.537140729804997,0.0840642647884745,6.864557606281245,4.94251450533924,4.135042286233651,5.544732655932624,6.118733475767844,4.259272487037594,1.7004397181410922,5.363171077119244,5.292781749227846,5.035183996618336,7.323550214537046,6.797531839571962,8.036173612553485,7.638291094170947,10.929036438478692,0.2016338611696504,4.349789870241872,9.371406395840689,3.311793717753649,4.486070743735668,4.857980995127572,4.0522419811811385,4.326249700837456,3.782408564927373,6.295906655297028,0.070389327891398,3.970853654340484,5.121429908948958,5.269033146455237,5.994353436858858,4.675251386050259,5.872828759534886,6.352617298958503,6.518062975652524,3.903038270112912,5.571373435973201,0.01435529297707,0.6229303509201767,3.177917792195843,6.9701634246609965,10.783734925176203,5.642123916153487,4.8894735425311096,6.4584476274379226,1.250961573533219,7.236683944559009,4.147306698780294,4.533563348214512,7.654636028527967,6.56498780095989,4.362469888750209,5.683696454306515,4.956985924612576,6.57969306345875,6.172127436878001,5.032982416699428,6.015916772106886,5.784503982929566,3.654206377944292,5.448900951145128,4.292045492492862,6.277612870756686,3.663344619366085,2.1243281350022016,8.076494962525478,7.196036493951546,5.661350569233997,10.542258049766918,6.875411480130765,9.66222330531784
