depmap_id,CRBN,DDB1,CUL4A,CUL4B,RBX1,CUL1,CUL2,CUL3,SKP1,VHL,KEAP1,RNF7,MDM2,FEM1B,RNF114,BIRC2,BIRC3,UBR1,ARIH1,UBE2D1,UBE2D2,UBE2D3,UBE2G1,UBE2G2,UBE2L3,UBE2R2,UBE2N,UBE2M,UBE2F,UBE2K,UBE2H,UBE2E1,CDC34,PSMA1,PSMB5,PSMB6,PSMB8,PSMB9,PSMB10,PSMC1,PSMC2,PSMD2,PSMD11,PSMD14,PSME1,UBB,UBC,UBA52,RPS27A,USP7,USP14,USP9X,UCHL5,OTUB1,ABCB1,ABCC1,ABCG2,ABCC3,SLC46A1,CUL5,DCAF1,DCAF11,DCAF15,DCAF16,ELOB,ELOC,FBXO22,HUWE1,KLHDC2,KLHL20,NEDD4,NEDD4L,PRKN,RNF168,RNF4,RNF8,SIAH1,STUB1,TRIM21,UBE3A,WWP1
ACH-001113,0.5945485495503542,5.844234987758751,4.618238655595454,5.671859468247477,4.863938450423972,3.070389327891398,3.794935662803536,5.013015535839256,2.2479275134435857,5.10936055940423,6.545041683467464,0.5360529002402097,5.565901766806668,7.715344295358907,4.095924419998536,5.6544928258834615,8.744228383881836,8.12241388837423,5.142821844115928,6.492013386873797,7.039467438278527,5.824513297334801,7.874735500076664,5.115199749385445,4.619999829821357,7.241744864940151,6.314333993919012,6.988116584760143,4.516015147003665,4.377817853083645,9.53972104234946,4.069530325162305,5.358255586705128,7.363171077119244,7.827120367558616,6.267535798068735,2.16349873228288,5.307792796129895,5.966707314150316,3.388189537156084,7.7213042966440595,6.048977225226046,6.841092544693431,4.87921563716567,3.2735158897021166,5.417515002885087,4.332707933640605,5.111865963867557,5.53884852074424,8.85371501270492,11.021188205156898,3.655351828612554,9.242483419608917,7.337086645354823,4.998195503153252,3.5619370596224327,6.927896453728821,3.863938450423972,6.181102550753797,5.607922067261143,3.9541963103868754,3.726831217032493,4.142413437873741,5.684257705058931,6.515699838284043,4.339850002884624,6.0955025176586695,10.205182326228645,8.721441019070326,6.3321708504151095,5.189033824390017,5.60139939053183,1.1243281350022014,5.575917361118149,7.389480770609225,6.671576448130652,4.803743668505225,5.921959917326167,5.231509210867047,10.07775037426558,4.658782734012828
ACH-001289,0.0565835283663675,6.039357765159702,2.682573297347578,5.69181329717138,5.817367437838646,5.426264754702098,3.738767836800192,3.8629472480209217,3.5285713188707577,6.010556078374215,5.917670434361761,0.0,5.917909073852982,8.438583956469984,4.657640005207824,7.166715444966423,8.879460722538024,8.65585267744275,6.368768349090335,6.3384244147835584,4.275752048828529,6.390942772802543,9.1301844196865,4.87921563716567,5.187846909439575,7.326699124547794,0.6135316529179271,7.76460624310965,4.724104519866845,4.24412594328373,9.97312333067025,5.04176864995163,5.750874439656846,7.58661464242998,9.512088584731664,5.230741002626909,0.2868811477881615,4.154615611326894,6.732811872082943,6.679480099505446,8.397888508130764,6.58661464242998,7.0571253042715245,4.442943495848728,2.169925001442312,5.310703657225108,4.711494906650088,5.915759896038,5.803227036434928,8.866382569431286,10.658122204306215,4.237257770900372,9.59114830066745,7.661920579135087,6.034303767768035,3.795974694206668,6.989593184938768,4.127633279725874,4.380590934265922,6.168321115739722,4.930264245235024,4.319039815562536,5.937344392150233,6.527320607877047,7.739308070860385,4.469234793667656,6.620146497339492,11.216806474360558,7.706185170563115,7.534497433738168,5.525755692829486,5.66732447027863,0.7824085649273732,6.641835001555368,5.57803297169654,5.447248568601776,3.75702324650746,0.0840642647884745,5.54101915313356,10.392854039872873,3.852997587613317
ACH-001339,3.0789513413948217,6.087674986687217,5.400879436282184,5.135863165368679,4.95093492831454,4.034743949324734,3.228049047884462,4.370861740085285,2.411426245726465,5.431957187686729,4.68873986801449,1.232660756790275,5.0759604132434015,7.655494946021618,4.130930869826448,7.235439870618259,8.21266660465505,7.7997349224788675,4.537917249034083,6.061344188288391,2.763411574470007,5.746581499785813,8.85489954264385,3.7803100990433753,4.58014548442338,6.766462652425766,0.9855004303048848,7.392746732420639,5.298291730620124,4.490570130446201,9.471553291349515,4.498250867527825,5.447579196548882,8.011003564432668,7.833143096358337,5.909053016759139,1.9107326619029128,3.6599245584023774,6.022811650915631,3.7803100990433753,8.223567352796353,5.980939266085512,6.436461703182413,4.259272487037594,3.578938713093386,4.866413481123453,3.119356177039676,4.957914598632986,5.491532461804321,8.162945136774375,11.040221215361235,3.023255352300303,9.148502003893343,7.056258365138766,4.989139007368233,3.906890595608519,7.065443062937431,3.475084882948783,3.422233000683048,3.794935662803536,4.878725341480106,3.542258049766918,5.2505826647875375,6.105594275795191,6.450056493890837,4.662775171937776,7.266599165535096,10.468725852666545,7.701133154847972,7.293793489121389,5.561020577829268,4.965322548367254,0.070389327891398,6.673273736609817,4.731726322715782,4.697106574476975,3.4776773275653072,6.931210274803932,4.870857864363762,10.179287104646004,5.388533979091799
ACH-001979,0.5160151470036647,6.184677020680892,2.280956313831056,5.915759896038,6.02945288578697,3.624100894628114,2.761285273361619,4.400537929583729,3.021479727410452,5.624100894628114,5.197314999473818,0.2509615735332187,5.541638734436141,7.943335317755108,3.758089934201813,5.592756010441026,7.679339341903414,7.645802514606062,4.728464765092534,5.039138393906958,4.096767854714688,6.4277737623785205,8.529001000475997,4.170726276131552,3.745237332129749,5.427941332509482,0.925999418556223,6.824513297334801,4.772941337831336,3.657640005207824,10.025554865752342,3.76659516172927,5.08278773170927,6.344473459456363,6.561631630375841,4.575312330687437,0.137503523749935,4.863442934348041,5.272769732436511,4.458775699080244,7.153095971734591,5.983221650742669,6.340206179911712,2.9164766444377164,3.412781525338476,4.276496665640356,3.215678596607928,6.070818637533277,4.949534933017012,7.279378431234479,11.254260974673786,2.6758159311722696,8.797758782915304,6.02436400911417,4.975905273523699,3.4905701304462013,6.416839741912829,4.279471295644468,2.6959938131099,4.472487771462744,4.702103406629387,3.4828482830684653,5.039577103060678,5.51127826508303,6.772545518621512,4.4409521980296365,6.053980168187652,10.655888445706667,6.463851292611099,5.3063351601979765,6.456806149230474,4.590362488463746,0.1763227726404628,5.794415866350106,6.830737021121959,5.281698250098829,3.885574364371426,6.682432841227048,4.832890014164741,10.829643463949967,4.532316959332765
ACH-002438,0.903038270112912,6.060047383669939,3.7897292513757694,5.354381632113322,5.682292371430833,3.311793717753649,3.24031432933371,4.20945336562895,2.867896463992655,5.7481928495894605,5.519164449806069,0.0,5.458775699080244,8.09323267628895,4.727375938594897,6.73226919950145,8.265146182313647,8.315738297233207,4.90544717873885,6.031880365587182,5.0259146987507926,6.451540833017832,9.131008066767947,4.817111572795697,4.956521363333119,5.801676029253588,2.634593268445757,7.357024092784094,4.964860664245848,4.346956889378885,10.287827790536342,4.891419186846079,5.270528942380718,6.855616022786843,6.8961507309765615,4.38543103719352,0.4114262457264649,4.601696516480957,5.3750394313469245,4.466627120041501,7.815063017192867,5.985272714253447,6.57243496598233,3.512226886513957,3.6881803585869264,4.4495613746132365,4.1626934322112366,5.472812666192388,6.241840183564671,8.145983078550424,10.883865154509795,3.1292830169449664,9.322333795818592,7.754753913104538,5.394719912994065,3.431622959713292,6.410748128185948,3.494415610397496,3.0461417816447205,5.570462931026041,4.645009884391095,3.878725341480105,4.472487771462744,5.962086249850644,7.359398176276048,4.024142345897803,6.83932978216199,10.653740778706569,7.228337711981378,6.912769605532279,5.513806537433724,5.0307774719925415,0.2868811477881615,6.4257614011908375,6.341985747228616,5.144862142915734,3.969012307516316,6.25380022147642,4.929790997718597,10.60834724022469,3.5360529002402097
ACH-001538,2.875780063068488,5.118525848935668,4.369466483650723,4.822220271621528,4.403267722339301,3.626439136697315,5.131342539123261,3.6667565918848033,3.710393192170516,5.273515889702116,5.169524197150003,0.0426443374084937,6.240886713804971,9.419033185471022,4.20945336562895,5.763145958149476,8.546006968092383,7.188638294561388,5.414812060565847,5.211012193485511,4.084064264788474,5.937579799679659,8.956637517678086,4.20163386116965,4.358958825832329,6.180704840195555,3.075532631167357,7.492253789302918,4.570462931026041,4.101818134227409,8.891601456544691,5.405992359675837,5.294253136444514,6.660209873352559,6.772017590689214,5.22380865860602,2.625270489374693,4.238022517825721,7.025361072342031,4.956521363333119,8.537451387653073,5.583759753639499,6.078951341394822,4.0574502721839,4.550900664647523,4.599317793698226,5.341274183692175,7.659425121425692,5.32660925100527,7.612721087968251,11.500045140593762,3.665620164066381,9.398957408706362,6.984247546994803,5.2253520607761015,3.356143810225275,5.910732661902912,3.902073579310743,4.339137384919585,5.022811650915632,4.9963887464476215,3.541019153133559,3.981852653289741,5.9453267772646265,6.624685810525398,5.384395238388068,7.850874415720346,10.12308675098106,7.292137545135477,6.471837762422287,4.913607511823099,4.154615611326894,0.3785116232537298,5.734438666137168,5.97338167497138,5.1034976397033365,4.0522419811811385,7.6512670027293455,6.990954860396993,9.94186925352626,6.858105360029239
ACH-000242,2.028569152196771,5.991408466764788,6.592756010441026,5.217618485351048,5.674121632632394,4.561326136453918,3.2357270598380583,3.2141248053528475,3.19377174339668,5.456149034647996,5.6604951318885135,0.1110313123887439,6.439290681042018,8.42827641439251,5.036063688743695,6.276496665640356,8.574290766120185,7.781818679842354,5.914564523493939,5.231509210867047,4.574101508089389,5.53013318439181,7.933808661990121,4.176322772640463,3.792855352362489,6.516645557780962,6.273515889702116,7.576673292516575,4.486714373030702,3.942045259916047,8.92445623862289,4.234194722953812,5.125568451778029,6.284106911228743,6.677085350559835,5.577428828035749,2.114367024952,4.750070485865693,5.507794640198696,3.9717734471933728,7.626366123967175,6.5530532527664125,6.249634957310189,4.718087583960517,3.130930869826449,4.238786859587116,5.453846773749929,5.3788583832700345,4.956521363333119,6.874182189803417,10.878280867043117,4.1945598860226125,9.708532139089812,6.216066783087033,3.7246502717329673,3.033863451866284,5.896029602976752,4.184280294419382,4.002702520379824,5.577428828035749,5.015247773698937,3.860962797858116,4.846994686965573,6.609400390006429,7.09876903815488,4.454175893185802,6.131136719158451,10.426055045414587,7.880563091770077,7.885025196290356,3.856985689782205,5.7824085649273735,0.2868811477881615,6.361592923772207,5.511594541537413,5.474436043252266,3.859969548221026,5.642123916153487,5.680324356844016,10.644397099000916,3.1473066987802936
ACH-000708,1.6870606883398924,5.983221650742669,4.495695162624068,5.495695162624068,4.932628157022127,2.799087306074004,3.5058909297299574,3.2555007331483865,3.1176950426697547,4.992768430768924,5.451540833017832,4.330558400030802,5.478971805032942,7.273142859308082,5.709566353839991,5.596637034102074,7.445428759238323,7.353411515901703,5.667892125230234,4.357552004618084,4.611762560064872,6.678494507773734,8.8543073992447,4.539779191698494,4.234194722953812,6.472325296656458,6.061560209107974,6.505732173741804,3.353323291162897,4.033863451866284,8.308976041868696,4.634012356402116,4.386810946472217,5.895302621333307,6.722192760895903,5.715344295358907,0.0426443374084937,4.310340120612151,6.924575003392735,4.547819956577703,7.416333088688697,5.970623614470605,6.317231700222606,4.605257262939004,3.502075956045791,5.086189313104476,4.777156666004501,4.229587922740652,5.76128527336162,8.182543333151754,10.767274080951395,4.083213368248981,9.671381839588609,6.445925298579273,3.76234881564413,3.063502942306158,6.125981653854716,3.472487771462744,2.9049657186840263,4.669593751188333,4.937815168803419,3.150559676575381,4.389566811762726,5.236492618381302,6.889838550766045,3.297191416565856,5.461070114033051,2.563158130402808,7.705217660919054,6.998308350354287,5.2761244052742375,6.034303767768035,0.1505596765753814,5.355791546753647,5.14649230697719,6.056149961108142,3.889473542531109,6.806324057390029,6.119563684417364,9.972836227178576,5.787641414483327
ACH-000327,2.18269229751619,4.173926931999809,4.234961094839504,4.341274183692175,5.259272487037594,1.903038270112912,1.7180875839605168,3.1009776477248208,3.2094533656289497,6.323910438019789,4.888986721186558,1.883620816285672,4.958842675243241,5.7230123963923685,4.714795011118162,5.165911938935689,7.012680402063877,7.5474344051066655,5.51096191927738,5.093391153253013,3.8083850506560935,6.55028504908841,8.495095513818358,3.2203299548795554,3.563158130402808,6.215096120976213,3.028569152196771,6.45022149589718,3.320484678017693,3.78345665436024,8.14934066928622,3.955126781261366,4.3826672527450405,5.530445354692906,5.896029602976752,5.511910748670928,3.428946344769483,5.046141781644721,5.657068301201576,3.060047383669939,6.832383716549126,7.377731108349777,5.97865326490861,3.327687364176047,2.1473066987802936,3.919340082442013,2.990954860396993,4.151371776253954,4.83541884047548,6.936755705219598,9.95076000318054,3.05484847699562,9.121015400961364,6.513490745588118,2.9068905956085187,2.070389327891398,5.496654082593496,3.339137384919585,2.18269229751619,5.023255352300303,5.4432751117658045,2.7398481026993275,5.12969515665378,4.999098033705607,6.335211681705785,4.180307019969433,4.754887502163468,10.253847484987404,6.874674031635808,6.0298945496633385,4.547203024756931,4.954196310386875,0.0,5.160678213220501,4.254745197629213,5.212569338850806,5.081936081719432,8.184429079552386,4.269033146455237,10.060831009169126,5.554281862626391
ACH-000233,7.832383716549126,5.340206179911712,5.299391206126829,5.0522419811811385,5.23342794374847,3.689299160535892,3.665620164066381,4.37016428054021,2.4195388915137843,6.149950301681046,4.736063627871814,0.2141248053528473,7.24031432933371,7.7056323873614145,5.2539892662307865,5.697662633470518,8.311067102255596,6.778340011285518,5.345538310070007,4.398487190018967,4.138323004056484,6.597084173433373,8.062585866511256,4.953265239014844,3.854993016757,6.2951719919885285,0.4222330006830478,8.328854411657725,6.010556078374215,4.783980413683795,8.467483282610498,4.4409521980296365,5.025471814621179,6.052894046747444,6.855117639487686,5.521050736900963,0.2387868595871165,3.23112515787905,7.082255509383947,4.676944359106912,7.102868054251107,6.537140729804997,6.864557606281245,5.175923742063755,3.975446765640962,4.94251450533924,5.544732655932624,4.259272487037594,5.292781749227846,6.797531839571962,10.929036438478692,3.884597920990065,9.371406395840689,6.604812649948411,4.326249700837456,3.782408564927373,6.295906655297028,4.119356177039675,3.607626220845488,4.57106999816771,5.269033146455237,3.298658315564515,5.317593504623472,5.872828759534886,6.352617298958503,3.903038270112912,6.9701634246609965,10.783734925176203,7.654636028527967,6.56498780095989,4.956985924612576,6.172127436878001,2.204766750654613,6.015916772106886,5.784503982929566,5.448900951145128,3.73768676140986,7.196036493951546,5.661350569233997,10.542258049766918,6.875411480130765
